#Orbital_phase Spin_phase E_SP/<E>
0.6676	 0.053 	 3.3
0.6676	 0.076 	 3.1
0.6677	 0.050 	 5.2
0.6678	 0.042 	 3.3
0.6684	 0.057 	 3.2
0.6690	 0.041 	 3.9
0.6691	 0.048 	 3.2
0.6692	 0.037 	 3.7
0.6694	 0.046 	 3.7
0.6699	 0.044 	 3.2
0.6699	 0.066 	 3.4
0.6710	 0.064 	 4.1
0.6714	 0.062 	 3.1
0.6720	 0.057 	 3.1
0.6723	 0.066 	 3.7
0.6731	 0.060 	 3.4
0.6740	 0.041 	 3.8
0.6744	 0.076 	 3.9
0.6744	 0.069 	 5.8
0.6750	 0.071 	 3.2
0.6759	 0.044 	 3.3
0.6760	 0.053 	 3.7
0.6761	 0.057 	 3.8
0.6765	 0.051 	 3.6
0.6766	 0.039 	 3.2
0.6772	 0.057 	 3.1
0.6776	 0.053 	 3.4
0.6777	 0.057 	 3.2
0.6780	 0.062 	 4.2
0.6781	 0.051 	 4.2
0.6781	 0.053 	 3.3
0.6788	 0.076 	 3.3
0.6869	 0.060 	 3.1
0.6882	 0.046 	 4.4
0.6911	 0.053 	 3.1
0.6922	 0.066 	 3.7
0.6927	 0.055 	 3.2
0.6929	 0.058 	 3.2
0.6933	 0.048 	 3.7
0.6933	 0.046 	 5.0
0.6933	 0.060 	 3.3
0.6938	 0.058 	 3.2
0.6944	 0.071 	 3.5
0.6953	 0.073 	 3.3
0.6956	 0.058 	 4.1
0.6965	 0.051 	 3.0
0.6966	 0.057 	 3.6
0.6966	 0.062 	 3.7
0.6971	 0.048 	 4.1
0.6971	 0.055 	 4.2
0.6971	 0.046 	 3.9
0.6971	 0.048 	 4.9
0.6984	 0.037 	 3.7
0.6991	 0.028 	 3.9
0.6994	 0.055 	 3.6
0.6998	 0.060 	 3.9
0.7038	 0.030 	 3.4
0.7042	 0.039 	 3.5
0.7081	 0.060 	 3.7
0.7082	 0.057 	 3.8
0.7082	 0.055 	 4.3
0.7082	 0.046 	 3.2
0.7086	 0.039 	 4.5
0.7091	 0.055 	 4.3
0.7100	 0.058 	 4.8
0.7102	 0.053 	 3.3
0.7104	 0.055 	 4.4
0.7104	 0.050 	 4.0
0.7108	 0.057 	 5.2
0.7112	 0.051 	 3.5
0.7114	 0.048 	 3.3
0.7114	 0.055 	 4.9
0.7114	 0.057 	 4.1
0.7120	 0.060 	 3.1
0.7121	 0.069 	 3.7
0.7122	 0.060 	 3.2
0.7130	 0.055 	 4.7
0.7132	 0.058 	 4.6
0.7134	 0.048 	 4.1
0.7134	 0.071 	 3.1
0.7135	 0.058 	 7.1
0.7140	 0.055 	 4.4
0.7142	 0.058 	 3.2
0.7147	 0.053 	 5.5
0.7151	 0.028 	 3.6
0.7154	 0.041 	 4.8
0.7154	 0.050 	 4.9
0.7155	 0.041 	 3.2
0.7163	 0.060 	 3.0
0.7163	 0.046 	 3.3
0.7165	 0.066 	 4.0
0.7167	 0.041 	 3.9
0.7179	 0.074 	 3.7
0.7187	 0.051 	 3.5
0.7205	 0.051 	 3.8
0.7207	 0.051 	 3.2
0.7229	 0.073 	 4.3
0.7258	 0.069 	 4.1
0.7283	 0.044 	 3.6
0.7300	 0.048 	 3.8
0.7302	 0.062 	 3.4
0.7579	 0.083 	 4.0
0.7707	 0.046 	 4.2
0.7708	 0.042 	 5.1
0.7793	 0.067 	 3.3
0.7803	 0.055 	 3.5
0.7847	 0.069 	 3.3
0.8490	 0.060 	 4.4
0.8574	 0.044 	 3.1
